"nature","section","section2","section3","comite"
"PR","26","","","La composition suivante est celle proposée par le laboratoire. Elle sera soumise au vote du Conseil Académique le 20 mars.

Membres locaux :
Agathe Guilloux
Pierre Gilles Lemarié-Rieusset (président)
Jean Lerbet
Stéphane Menozzi

Membres extérieurs :
Valeria Banica
Mireille Bossy
Marco Cannone
Laurent Dumas
Thomas Duyckaerts
Béatrice Laroche
Delphine Salort
Nicolas Vauchelet"
"MCF","25","","","Membres externes:

- Karin Baur
- David Chataur
- Corrado de Concini
- Louis Funar
- Kathryn Hess
- Jochen Heinloth
- Penka Georgieva
- Sophie Morier-Genoud
- Marco Robalo
- Maria Chlouveraki
- Charles de Clercq
- Sheila Sandon
- Travis Schleder
- Daniel Juteau

Membres internes :

- Antoine Chambert-Loir
- Muriel Livernet (présidente)
- Emmanuel Letellier (vice-président)
- Eric Vasserot
- Julie Deserti
- Hussein Mourtada"
"PR","25","","","comité trouvé sur
https://www.univ-paris-diderot.fr/file/8761/download?token=ZsLJzTZR

Dorothea BAHNS
Pierre-Henri CHAUDOUARD
Laurent DESVILLETTES
Frédéric HÉLEIN
Eric LEICHTNAM
Colette MOEGLIN
Jean RENAULT
Svytlana MAYBORODA
Sylvie PAYCHA
Anne PICHON
Tobias SCHMIDT
"
"MCF","25","26","","Locaux:
BALADI Viviane
CORDERO-ERAUSQUIN Dario
DOERR Carola
DUJARDIN Romain (président)
GUIHENEUF Pierre Antoine
LEVY Thierry 
TARDIF Camille
UEBERSCHAR Henrik

Extérieurs:
BROFFERIO Sara
CAPITAINE Mireille
CHAFAI Djalil
CHAZOTTES Jean-René
DEFOSSEUX Manon
DE TILIERE Beatrice
DONATI-MARTIN Catherine
MATHEUS Carlos
"
"PR","26","","","Antoine Chambaz
Jérôme Dedecker
Chantal Guihenneuc
Adeline Leclercq-Samson
Céline Levy-Leduc
Mathilde Mougeot
Jean-Michel Poggi
Pascale Tubert-Bitter
"
"MCF","25","","","Dal&#039;bo Françoise
Benoist Olivier
Tristani Isabelle
Fratila Dragos
Sandon Sheila
Delort Jean-Marc
Livernet Muriel
Roesch Pascale
Dat Jean-François
Georgieva Penka
Ducros Antoine
Minerbe Vincent
Stroh Benoît
Chemla Sophie
Bolley François
Israel Dan
"
"PR","26","","","Intérieurs

Pierre Calka
Catherine Houdement
Serge Pergamenchtchikov
Paul Raynaud de Fitte


Extérieurs

Delphine Blanke
Faicel Chamrouki
Fabienne Comte
Ghislaine Gayraud
Stéphane Robin
Adeline Samson

"
"MCF","26","","","Présidente du comité : Fanny Villers"
"PR","27","","","&amp;#9827;	Hugues Fauconnier, Président
&amp;#9827;	Sophie Laplante
&amp;#9827;	François Laroussinie 
&amp;#9827;	Frédéric Magniez 
&amp;#9827;	Michele Pagani 
&amp;#9827;	Cristina Sirangelo 
&amp;#9827;	Laurent Viennot

&amp;#9827;	Frédérique Bassino 
&amp;#9827;	Patricia Bouyer 
&amp;#9827;	Vincent Danos 
&amp;#9827;	Matthieu Latapy 
&amp;#9827;	Claire Mathieu 
&amp;#9827;	Christophe Paul 
&amp;#9827;	Sophie Tison 
&amp;#9827;	Stéphan Thomassé 


"
"MCF","26","","","Nicolas Baskiotis
Olivier Bouaziz
Claire Boyer
Ghislaine Gayraud
Anne Gégout-Petit
Agathe Guilloux 
Arnaud Guyader 
Olivier Lopez
Robin Ryder
Anne Sabourin
Maud Thomas
Olivier Wintenberger"
"PR","26","","","Djalil Chafai
Philippe Chassaing
Laure Coutin
Anne Estrade
Anne Gégout-Petit (Vice-Présidente)
Bénédicte Haas
Antoine Lejay
Florent Malrieu
Radu Stoïca (Président)
Thomas Stoll"
"MCF","26","","","Membres Extérieurs :

Sandrine Anthoine
Julie Delon
Agnes Desolneux
Simon Masnou
Nelly Pustelnik
Pierre Weiss 

Membres Locaux :

Jean-François Aujol
Jérémie Bigot
Aurelie Bugeau
Baudouin Denis de Senneville 
Nicolas Papadakis
Edoardo Provenzi
"
"MCF","27","","","Carrère Frédérique
Duchon Philippe
Esnard Aurélien
Lepetit Vincent
Sutre Grégoire
Burman Janna
Broutin Nicolas
Jurie Frédéric
Senac Christine
Soulé-Dupuy Chantal"
"MCF","27","","","\N"
"PR","25","26","","Externes:
Banica    Valeria
Bouclet    Jean-Marc
Dauge    Monique
Häfner    Dietrich (Président)
Méhats    Florian
Perelman    Galina
Szeftel    Jérémie 

Internes:
Bessieres    Laurent
Bruneau    Vincent
Lannes    David 

"
"PR","27","","","\N"
"MCF","26","","","Jean Bérard
Jacques Franchi
Nicolas Juillet
Vlada Limic
Myriam Maumy-Bertrand
Laurent Navoret

Oriane Blondel
Cédric Boutillier
Jean-Christophe Breton
Jea-Baptiste Gouéré
Aline Kurtzmann
Ellen Saada"
"PR","25","","","Externes: Damien Calaque, Clotilde Fermanian, Philippe Jaming, Lucie Moser-Jauslin, Pascale Roesch

Internes: Loïc Chaumont, Eric Delabaere (président), Laurent Meersseman, Volodya Roubstov, Claudine Landés (représentante UFR Sciences)
"
"PR","27","","","JACQUES Julien
DESPRES-LONNET Marie
PUZENAT Didier
BOUSSAID Omar
BENNANI Younes
BOUALI Fatma
CREMILLEUX Bruno
NADIF Mohamed
TEISSEIRE Maguelonne
VRAIN Christel"
"MCF","25","","","Claire Amiot
Paolo Bellingeri
Maria Chlouveraki
John Guaschi
Bernard Leclerc
Anna Lenzhen
Gilbert Levitt
Isabelle Liousse
Luis Paris
Jérôme Poineau
Eric Ricard
Rachel Taillefer
"
"PR","25","","","Externes:
Fabrizio Andreatta, Anna Cadoret, Hélène Esnault, Annette Huber, Erwan Rousseau

Internes:
Yann Bugeaud, Henri Carayol, Carlo Gasbarri, Armelle Guillou (présidente), Rutger Noot
"
"MCF","25","","","Membres locaux : 

DELL&#039;AMBROGIO Ivo 
FLAMINIO Livio 
GUERITAUD François 
LIOUSSE Isabelle 
MOREAU Anne 
POPESCU-PAMPU Patrick 
RAULF Nicole 
TOUZE Antoine 

Membres extérieurs : 

ARNAUD Marie-Claude 
COULON Rémi 
DUTERTRE Nicolas 
KARLSSON Anders 
LUDWIG Ursula 
MATHEUS Carlos 
PICHON Anne 
SANDON Sheila "
"MCF","26","","","Locaux :
--------
Ayache Antoine
Dachian Sergueï (président)
Fradon Myriam (vice-présidente)
Grivaux Sophie
Heinrich Philippe
Janot Stéphane
Preda Cristian
Tran Viet Chi


Extérieurs :
------------

Basdevant Anne-Laure
Breton Jean-Christophe
De Saporta Benoite
Desolneux Agnès
Février Maxime
Jacques Julien
Krell Nathalie
Leger Stéphanie
"
