nature,section,section2,section3,comite
PR,27,,,"Mme Jenny Benois-Pineau (LABRI, Bordeaux)
Mme Isabelle Bloch (LIP6, Sorbonne)
Mr Éric Busvelle (LIS, Toulon)
Mme Magali Deleuil (LAM, AMU)
Mr Laurent Stephane Didier (iMath, Toulon)
Mr Ronan Fablet (IMT Brest)
Mme Anne Molcard (MIO, Toulon)
Mr François Pellegrino (DDL, Lyon)"
MCF,26,,,"Marianne BESSEMOULIN-CHATARD (Nantes Université)
Annabelle COLLIN (Bordeaux INP)
Fabien CRAUSTE (Université Paris Cité, président)
Laurent DUMAS (Université de Versailles Saint Quentin en Yvelines)
Joan Alexis GLAUNES (Université Paris Cité)
Bérénice GREC (Université Paris Cité)
Magali RIBOT (Université d&#039;Orléans)
Stéphanie SALMON (Université de Reims Champagne-Ardenne)
Marcela SZOPOS (Université Paris Cité)
Rémi TESSON (ENS Paris-Saclay)
"
MCF,26,,,"Internes:

Jean-Michel Poggi 
Muriel Louâpre 
Jérôme Dedecker 
Laurence Guellec 
Vittorio Perduca 

Externes :

Etienne Côme 
Marc Jahjah 
Madalina Olteanu 
Marie-Laure Martin-Magniette 
Sophie Lambert-Lacroix 
Mathilde Mougeot 
Samuel Szoniecky 
"
MCF,27,,,"David Baelde
Véronique Benzaken
André Chailloux
Thomas Colcombet
Vincent Delecroix
Enrica Duchi
Stefania Dumbrava
Cyril Gavoille
Adrien Guatto
François Laroussinie
Karoliina Lehtinen
Alantha Newman
Michele Pagani
Elaine Pimentel
Sophie Pinchinat
Gabriel Scherer
Sylvain Schmitz
Tatiana Starikovskaia
Matej Stehlik
Ralf Treinen
"
MCF,25,,,"Loïc Foissy
Pierre-Louis Giscard
Bruno Martin
Lucile Devin
Shalom Eliahou
Virginie Marion
Philippe Duchon
Eddy Godelle
Souhila Kaci
Bérénice Delcroix-Oger
Victoria Lebed
Elisabeth Remm"
MCF,25,,,"Baseilhac Stéphane (Président)
Delcroix-Oger, Bérénice
Geninska, Slavyana
Haettel, Thomas
Heusener, Michael
Iozzi, Alessandra
Queffelec, Hoël
Maillot, Sylvain
Moussard, Delphine
Wagner, Emmanuel


"
MCF,26,,,"Membres extérieurs :

ALFARO Matthieu
BANICA Valeria
GRUAIS Isabelle
MANCINI Simona
MISCHLER Stéphane (Président)
TCHOU Nicoletta

Membres internes :

CHAMORRO Diego (Vice-Président)
CORRIAS Lucilla 
LEMARIÉ-RIEUSSET Pierre-Gilles
MENOZZI Stéphane"
MCF,25,26,,"Z. Ammari
A.-S. Bonnet-Ben Dhia
J.-F. Bony
M.-L. Chabanol
M. Dimassi
Y. Guedes Bonthonneau
L. Jager
A. Joye
L. Michel
S. Rota Nodari
"
MCF,25,,,"Membres locaux : 

Laurent Bessières (Vice-président)
Yohan Brunebarbe
Elise Goujard
Mickael Matusinski
Arnaud Pêcher
Jean-François Quint

Membres extérieurs : 

Slavyana Geninska
Peter Haissinsky
Ann Lemahieu
Anne Lonjou
Laurent Mazet (Président) 
Pascale Roesch"
MCF,27,,,"Nicolas Maudet
Vanda Luengo
Catherine Matias
Hubert Naacke
Lionel Tabourier

Mírian Halfeld Ferrari Alves   
Olivier Cure 
Vincent Gauthier
Sebastien Iksal 
Marie Lefevre
Veronika Peralta
Thiphaine Viard"
MCF,26,,,"Membres Internes

CREPEY Stéphane
PHAM  Huyên      (Président)
QUENEZ Marie-Claire


Membres externes

ABI JABER Eduardo
BOSSY Mireille
GASSIAT Paul
LABART Céline
RICHOU Adrien
ROSENBAUM Mathieu
THOMAS Maud  (Vice-Présidente) "
MCF,27,,,"David Baelde
Véronique Benzaken
André Chailloux
Thomas Colcombet
Vincent Delecroix
Enrica Duchi
Stefania Dumbrava
Cyril Gavoille
Adrien Guatto
François Laroussinie
Karoliina Lehtinen
Alantha Newman
Michele Pagani
Elaine Pimentel
Sophie Pinchinat
Gabriel Scherer
Sylvain Schmitz
Tatiana Starikovskaia
Matej Stehlik
Ralf Treinen"
PR,27,,,"Eugène Asarin
Sandrine Blazy
Mireille Bousquet-Mélou
Véronique Bruyère
Giuseppe Castagna
Sylvain Conchon
Ugo dal Lago
Carole Delporte
Carola Doerr
Thomas Ehrhard
Thomas Jensen
Delia Kesner
Sophie Laplante
Cyril Nicaud
Damien Pous
Michaël Rao
Mihaela Sighireanu
Cristina Sirangelo
Ioan Todinca
Laurent Viennot
"
PR,25,26,,"Julien Marché
Frédéric Naud
Nicolas Broutin
Eleonora Di Nezza
Philippe Biane
Nicolas Curien 
Mireille Bousquet-Melou
Frédérique Bassino
"
MCF,26,70,,"Internes:
Borrelli	Vincent
Bruguières	Catherine
Deloustal-Jorrand	Virginie
Mercat	Christian
Mithalal-Doze	Joris

Externes:
Chesnais	Aurélie
Derouet	Charlotte
Emprin	Fabien
Gibel	Patrick
Hersant	Magali
Marzin-Janvier	Patricia
Moulin	Marianne
"
MCF,25,26,,"Composition du comité de sélection :  
  
Membres extérieurs :  

- Simonetta Abenda
- Tamara Grava
- Paolo Rossi 
- Oleg Lisovyy 
- Alessandra Frabetti
- Elba Garcia Failde
- Andrea Brini  

Membres intérieurs :  
  
- Guido Carlet 
- Moser Lucy
- Sébastien Leurent 
- Renaud Detcherry 
- Xavier Dupuis "
MCF,26,,,"Jiao Ying (présidente)
Masiello Esterina (vice-présidente)
Dion-Blanc Charlotte
Dombry Clément
Dorobantu Diana
El Methni Jonathan
Lelong Jérôme
Opitz Thomas
Robert Christian Yann
Rulliere Didier

"
MCF,25,26,,"M.	CHEVERRY Christophe
M.	GOUEZEL	Sébastien
M.	GUIRARDEL Vincent
Mme	LENZHEN	Anna
M.	MAUCOURANT François
M.	FAVRE	Charles
M.	GUICHARD Olivier
Mme	BURRIN	Claire
Mme	CASALS	Montserrat
Mme	FLORIO	Anna
"
MCF,25,,,"Membres internes :

Barré Julien (président)
Beck Vincent
Gobet Thomas
Guilhot Jérémie (vice-président)
Lecouvey Cédric 

Membres externes :

Fauquant-Millet Florence
Lanini Martina
Paris Luis
Schwer Petra
Testerman Donna
"
MCF,27,,,\N
MCF,60,61,,\N
MCF,61,,,\N
PR,27,,,"Eugène Asarin
Sandrine Blazy
Mireille Bousquet-Mélou
Véronique Bruyère
Giuseppe Castagna
Sylvain Conchon
Ugo dal Lago
Carole Delporte
Carola Doerr
Thomas Ehrhard
Thomas Jensen
Delia Kesner
Sophie Laplante
Cyril Nicaud
Damien Pous
Michaël Rao
Mihaela Sighireanu
Cristina Sirangelo
Ioan Todinca
Laurent Viennot"
MCF,26,,,"Locaux:
- Dang Thao
- Grenet Bruno
- Leclerc-Samson Adeline
- Maignan Aude
- Potet Marie-Laure

Extérieurs:
- Bostan Alin
- Bouillaguet Charles
- Guerrini Eleonora
- Guillevic Aurore
- Neiger Vincent
- Villard Gilles
- Weil Jacques-Arthur"
MCF,26,,,"Membres internes:

Florence Bertails-Descoubes
Cécilia Lancien
Emmanuel Maître
Christophe Prieur
Emmanuel Russ
Pierre Saramito

Membres extérieurs:

Benjamin Bogosel
Marguerite Gisclon
Barbara Gris
Hélène Hivert
Laetitia Paoli
Laurent Seppecher
"
MCF,25,,,"Membres internes :

Thierry Lambre (Président)

Éric Gaudron (Vice-président)

Richard Griffon

Abel Lacabanne

Marusia Rebolledo

Emmanuel Royer

Membres externes :

Cécile Armana

Christine Bachoc

Charlotte Hardouin

Antonella Perruca

Emmanuel Peyre

Cathy Swaenepoel



---

Les lettres de recommandation sont à envoyer à Th. Lambre :

Thierry.Lambre@uca.fr
"
MCF,25,26,,"Membres internes

Nicolas Rougerie, directeur de recherche CNRS, UMPA
Nikolay Tzvetkov, professeur, UMPA
Julien Vovelle, directeur de recherche CNRS, UMPA
Hélène Leman, chargée de recherche INRIA, UMPA
Pierre Delplace, chargé de recherche CNRS, Laboratoire de Physique, ENSL


Membres externes

Hélène Mathis, professeure, Université de Montpellier
Evelyne Miot, directrice de recherche CNRS, Université Grenoble-Alpes
Nathalie Ayi, maîtresse de conférence, Sorbonne Université
Julien Sabin, maître de conférence, Université de Rennes 1
Francesco Fanelli, maître de conférence, Université de Lyon 1
Christophe Prange, chargé de recherche CNRS, Cergy Paris Université
Marcello Porta, professeur, Scuola Internazionale Superiore di Studi Avanzati, Trieste.
 "
MCF,26,,,"Externes :
Chloé Jimenez 
Elisa Riccietti 
Irene Waldspurger 
Jean-Francois Babadjian 
Julien Barré 
Stephane Gaubert 
Christian Léonard 
 
Internes :
Remi Catellier 
Stella Krell 
Samuel Vaiter 
Mireille Bossy 
Jean-Baptiste Caillau "
MCF,26,,,\N
MCF,25,,,"MEMBRES INTERNES :
- Damien Gaboriau
- Adrien Le Boudec
- Marco Mazzucchelli (vice-président)
- Bertrand Rémy
- Elisa Riccietti

MEMBRES EXTERNES :
- Laurent Bessières (président)
- Anna Florio
- Olivier Guichard
- Ailsa Keating
- Eveline Legendre
- Joan Porti
- Jérémy Toulisse
"
