nature,section,section2,section3,comite
MCF,61,,,"- ABBOU Rosa  (Nantes Université, LS2N)
- ALLANIC Nadine (Nantes Université, GEPEA)
- BERDJAG Denis (UPHF, LAMIH)
- BERRUET Pascal (UBS, LAB-STICC)
- CASTAGLIOLA Philippe  (Nantes Université, LS2N)
- DA CUNHA Catherine (Centrale Nantes, LS2N)
- GUERIN Clément (UBS, LAB-STICC)
- JANKOVIC Maria (Université Paris Saclay, LGI)
- MEBARKI Nasser (Nantes Université, LS2N, Président)
- NOUIRI Maroua  (Nantes Université, LS2N)
- VANDERHAEGEN Frédéric (UPHF, LAMIH)
- YAHOUNI Zakaria (Université Grenoble Alpes, G-SCOP)
"
PR,61,,,"BARTHELEMY, Hervé; PR 63; Université de Toulon, IM2NP
GUERIN, Charles-Antoine; PR 37; Université de Toulon, MIO
FOULADIRAD, Mitra; PR 26; Centrale Marseille, M2P2
HUGEL, Vincent; PR 60; Université de Toulon, COSMER
AUTRAN, Jean-Luc; PR 63, Aix-Marseille Université, IM2NP
BOZZO ESCOUBAS, Stéphanie; PR 63; Aix-Marseille Université, IM2NP
GIREMUS, Audrey; PR 61; Université de Bordeaux, IMS
MARCOS, Sylvie; DR Signaux et statistiques; CentraleSupelec, L2S"
PR,61,,,"Internes :

Pascal Bondon
Samia Bouchafa
François Goudail
Céline Hudelot
Michel Kieffer (président)
Sylvie Le Hégarat (vice présidente)

Externes :

Sophie Achard
Pierre-Olivier Amblard
Laure Blanc-Féraud
Pierre Chainais
Olivier Michel
Cédric Richard
Nadège Thirion-Moreau
Florence Tupin
"
PR,61,,,\N
MCF,26,,,"- Antoine Gloria (président,LJLL)
- Fabrice Bethuel (VP,LJLL)
- Valeria Banica (LJLL)
- Nathalie Ayi (LJLL)
- Cindy Guichard (LJLL)
- Damiano Lombardi (LJLL et Inria Paris)
- François Lequeux (ESPCI)
- Sonia Fliss (ENSTA)
- Ivan Gentil (Lyon)
- Philippe Gravejat (Cergy)
- Anne-Sophie De Suzzoni (Polytechnique)
- Vincent Duval (Dauphine et Inria Paris)
- Christèle Etchegaray (Bordeaux et Inria)
- Madalina Petcu (Poitiers)"
MCF,26,,,"Gregory Vial (président)
Valérie Perrier (vice présidente)
Catherine Verdu
Christian Olagnon
Marco Picasso
Julie Delon
Emmanuel Maître
Yves Renard
Elie Bretin
Samuela Leoni-Aubin
Hélène Hivert
Adrien Petrov
Annabelle Colin
Vanessa Lleras
Pierre Weiss
Maya De Buhan"
MCF,26,,,"Caroline Chaux                   
Julie Delon                                  
Quentin Denoyelle                               
Anne Estrade                                    
Yann Gousseau                          
Cécile Louchet                                             
Lionel Moisan                                  
Nicolas Papadakis                     
Pauline Tan                                      
Pierre Weiss"
PR,26,,,"Internes:
Bernard Demeyer
Antoine Mandel
Bruno Nazaret
Agnieszka Rusinowska

Externes:
Maria Gabriella Graziano
Naila Hayek
Gilles Stoltz
Hasnaa Zidani"
MCF,26,,,\N
MCF,25,,,\N
PR,25,26,,\N
MCF,25,,,"Internes :
Arnaud Durand (PR, président)
Alexis Saurin (CR, vice-président)
Mireille Fouquet (Mcf)
Thomas Ehrhard (DR)
Daniela Luana Petrisan-Porumbel (Mcf)
Muriel Livernet (PR)

Externes :
Christine Tasson (PR)
Louis Esperet (DR)
Thomas Brihaye (PR)
Arnau Padrol (Mcf)
Ossona de Mendez Patrice (CR)
Bouvel Mathilde (CR)"
MCF,25,,,"Extérieurs

BIARD 	Séverine  Université Polytechnique des Hauts de France
DREYFUS Thomas 	  Université de Strasbourg
ESSER 	Céline 	  Université de Liège
GAUSSIER Hervé 	  Université Grenoble Alpes
GUEDON 	Olivier   Université Gustave Eiffel
LANCIEN Florence  Université Franche-Comté
RICARD 	Eric 	  Université de Caen
STROUSE Elisabeth Université de Bordeaux
THOMAS 	Pascal 	  Université Paul Sabatier

Locaux
	
BENHIDA Chafiq 	 Université de Lille
BIANCHI Fabrizio Université de Lille
DUVAL 	Céline 	 Université de Lille, Présidente
FRICAIN Emmanuel Université de Lille
GRIVAUX Sophie 	 Université de Lille
MATOS 	Ana 	 Université de Lille
ZHANG 	Changgui Université de Lille"
MCF,27,,,"Aurélien Bellet
Cécile Capponi
Françoise Delpech
Rémy Grunblatt
Christophe Gravier
Amaury Habrard
Charlotte Laclau
Emilie Morvant"
MCF,26,,,"Fanny Augeri
Hermine Biermé
Mireille Capitaine
Béatrice de Tilière
Laure Dumaz
Bastien Fernandez
Cyril Labbé (président)
Raphaël Lefevere (vice-président)
Eric Luçon
"
MCF,25,,,"Membres locaux:

Carlet Guido
Dito Giuseppe
Kitanine Nikolai
Leurent Sebastien
Massuyeau Gwenaël
Vago Gioia

Membres extérieurs:

Fock Vladimir
Frabetti Alessandra
Orantin Nicolas
Petrini Michela
Serban Didina
Varagnolo Michela
"
MCF,27,26,,"BRUNEL	Nicolas
FAYE	Alain
LIGOZAT	Anne-Laure
LY VATH	Vathana
MERABET	Massinissa
DESBOUVRIES	FRANÇOIS
GUILLOUX	AGATHE
LE BRIGANT	ALICE
PICOULEAU	Christophe
PLATEAU	Agnès
RONDEPIERRE-RODTS	AUDE
SABOURET	NICOLAS
"
MCF,25,26,,"BEHESHTI, Shabnam (Queen Mary University of London)
BERNARD, Laura (CNRS - Observatoire de Paris)	
CEDERBAUM, Carla (Universität Tübingen)
CHAZAL-LABRUERE, Catherine (Université Bourgogne Franche-Comté)	
DITO,Giuseppe (Vice-Président) (Université Bourgogne Franche-Comté)
GOURGOULHON, Éric (CNRS - Observatoire de Paris)
JARAMILLO, Jose-Luis (Président) (Université Bourgogne Franche-Comté)
JAUSLIN, Hans-Rudolf (Université Bourgogne Franche-Comté)
HUNEAU, Cécile (CNRS - École Polytechnique)
LEURENT, Sébastien (Université Bourgogne Franche-Comté)
PEREZ, Alejandro (Aix-Marseille Université)
WROCHNA, Michal	(Cergy Paris Université)


"
MCF,26,,,"Membres internes : 
Anna Ben Hamou 
Cédric Boutillier (Pdt) 
Nicolas Broutin 
Carola Doerr 
Idris Kharroubi 
Shen Lin

Membres externes : 
Manon Defosseux 
Laure Dumaz 
Nathanaël Enriquez 
Yueyun Hu 
Marie Théret 
Amandine Véber
"
MCF,26,,,"Membres externes : 

Héloïse Beaugendre 
Olivier Goubet 
Christian Gout
Stéphanie Lohrengel
Véronique Martin 


Membres internes : 

Felix Ali Mehmeti (Président)
Séverine Biard 
Julien Pellé
Juliette Venel (Vice-presidente)"
MCF,61,26,,"Internes :
Portelenelle Brice (p)
Grall Edith
Huynh Khac Tuan
Grall Antoine

Externes :
Cherfi-Boulanger Zohra (vp)
Al Masry Zeina
Barros Anne
Berenguer, Christophe"
MCF,26,,,"Président: Christophe Sabot

Vice-Président: Guillaume Aubrun

Membre du comité:

Anne-Laure Basdevant
Charles-Edouard Bréhier
Christophe Garban
Anna Ben Hamou
Mireille Capitaine
Anne-Laure Fougère 
Cyril Labbé
Gregory Miermont
Francoise Pene
Christophe Poquet


Remarques: les lettres de recommandation éventuelles sont à adresser au président du comité de sélection par email (sabot@math.univ-lyon1.fr), de préférence directement par les auteurs des lettres."
MCF,27,,,\N
MCF,26,,,"Christophette Blanchet-Scalliet
Bruno Bouchard 
Jean-François Chassagneux
Stéphane Crépey (P)
Stefano De Marco 
Aurélie Fischer 
Sergio Pulido 
Agnès Sulem 
Peter Tankov 
Maud Thomas  "
MCF,26,,,"Mariana Haragus (présidente)
Christian Klein (vice-président)
Mathieu Colin 
Vincent Duchène 
Lysianne Hari 
Abderrahim Jourani
Thomas Kappeler 
Anna Kazeykina 
Pauline Klein 
Henning Samtleben 
"
MCF,26,,,"Zeina AL MASRY 
Anne-Sophie BONNET-BEN DHIA 
Elodie BRUNEL-PICCININI 
Stéphane  CHRETIEN
Gabriela CIUPERCA 
Christine KERIBIN 	
Yacouba MAINASSARA
Christian MAIRE (président)
Vincent LAUDE	
Samuel MARQUERON	
Satish NAMAH (vice-président) 	
Morvan OUISSE 	
"
MCF,25,,,"Locaux:
Ramona Anton
Sophie Chemla
Jean-François Dat
Pierre-Antoine Guihéneuf
Marco Maculan
Julien Marché
Michela Petrini
Benoît Stroh

Extérieurs:
Michelle Bucher-Karlsson
Jehanne Dousse
Elise Goujard
Philippe Gravejat
Henri Guenancia
Kathy Mann
Stephane Nonnenmacher
Jean-François Quint"
MCF,25,,,"Membres externes :

Anton Alekseev
Christian Blohmann
Dorothea Bahns
Margherita Disertori
Chiara Esposito
Jean-Michel Maillet (président)
Catherine Meusburger
Aleksandra Petkovic
Clément Tauber


Membres internes :

Alessandra Frabetti
Johannes Kellendonk
Jean-Marie Stéphan
Thomas Strobl
Fabien Vignes-Tourneret"
MCF,25,,,\N
MCF,27,,,"Étienne André
Franck Delaplace
Cinzia Di Gusto
Marie Duflot-Kremer
François Fages
Jérôme Féret
Guillaume Hutzler
Sergiu Ivanov
Elizabeth Pelz
Franck Pommereau"
PR,26,,,"Antoine Chambaz (MAP5, Université de Paris), président

Fabienne Comte (MAP5, Université de Paris)

Cécile Durot (Modal&#039;X, Université Paris Nanterre)

Christophe Giraud (LMO, Université Paris Saclay)

Marc Hoffmann (CEREMADE, Université Paris Dauphine)

Pierre Latouche (MAP5, Université de Paris)

Béatrice Laurent-Bonneau (IMT, INSA Toulouse)

Adeline Leclercq Samson (Laboratoire Jean Kuntzmann, Université Grenoble Alpes)

Pierre Neuvial (IMT, CNRS et Université Paul Sabatier)

Amandine Veber (MAP5, CNRS et Université de Paris), vice-présidente




"
MCF,25,70,,"Membres internes

Pascale BRANDT-POMARES (Présidente)
Pascal TERRIEN
Christine POPLIMONT (Vice-présidente)
Fatima DAVIN
Claire COIFFARD MARRE
Romain HUG
Jean-François HEROLD
Maria Antonietta IMPEDOVO

Membres externes

Gregory CHAMBON
Pascal LEFEVRE
Pascal THOMAS
Emmanuel FRICAIN
Evgeni ABAKUMOV
Elisabeth STROUSE
Romuald ERNST
Marielle METGE-AGOSTINELLI"
MCF,6,26,,"Président : RULLIERE Jean-Louis
Vice-président : MASIELLO Esterina

GIRERD-POTIN GEORGES Isabelle
THOMAS Maud
IEHLE Vincent
ARNOLD Séverine
PANNEQUIN François
RABEHASAINA ANDRIANJATOVO LAndy-Nirina
DAOUIA Abdelaati"
MCF,25,,,"Locaux :

Boris Adamczewski
Jehanne Dousse
Driss Essouabri
Philippe Nadeau
Julien Roques
Todor Tsankov

Extérieurs :

Cécile Armana
Mireille Bousquet-Mélou
Cécile Dartyge
Gabriel Dospinescu
François Maucourant
Sophie Morier-Genoud"
