"nature","section","section2","section3","comite"
"MCF","27","","","Professeurs et assimilés

Extérieurs
Xavier Blanc (Université de Bordeaux)
Sophie Dupuy-Chessa (Université de Grenoble Alpes)
Alain Plantec (Université de Bretagne Occidentale)
Frédéric Saubion (Univesité d&#039;Angers)

Locaux
Pierre Boulet
Slim Hammadi
Lionel Seinturier
Laetitia Vermeulen Jourdan

Maîtres de conférence et assimilés

Extérieurs
Clémentine Nebut (Université de Montpellier)
Nathalie Souf (Université de Toulouse - Paul Sabatier)
Patricia Stolf (Université de Toulouse - Jean Jaurès)
Christelle Urtado (École des Mines d&#039;Alès)

Locaux
Nicolas Anquetil
Patricia Everaere Cailler
Marie-Eléonore Marmion Kessaci
Thomas Pietrzak
"
"PR","26","","","Francois Alouge
Eric Cances
Albert Cohen (Président)
Anne-Laure Dalibard
Anne Doucet
Olivier Glass
Cyril Imbert
Pauline Lafitte
Jérémie Szeftel
Emmanuel Trélat"
"PR","26","","","Viviane Durand-Guerrier
Isabelle Gallagher
Giambattista Giacomin (Président)
Cécile de Hosson
Catherine Houdement
Christian Mercat
Eric Roditi
Georges Skandalis"
"PR","25","","","Membres internes
Eric DELABAERE
Frédéric MANGOLTE
Laurent MEERSSEMAN
Valérie RAYMOND
Volodya ROUBTSOV

Membres externes
Vincent COLIN
Sorin DUMITRESCU
Charles FAVRE
Lucy MOSER
Erwan ROUSSEAU"
"PR","26","","","Achdou Yves
Bach Francis
Biau Gerard
Boucheron Stephane
Chassagneux Jean-François 
Comets Francis
Fougères Anne-Laure
Gassiat Elisabeth
Matias Catherine 
Reynaud-Bouret Patricia
"
"PR","26","","","Vincent Beffara
Nicolas Curien 
Catherine Donati-Martin 
Thomas Duquesne (président)
Nicolas Fournier
Bénédicte Haas
Irina Kourkova 
Thierry Lévy 
Jean-François Marckert
Dominique Mouhanna"
"PR","25","26","","Gaubert Stéphane
Bolte Jérôme
Cardaliaguet Pierre
Renault Jérôme
Bousquet-Mélou Mireille
Dat Jean-François
Allouche Jean-Paul
Frankowska Hélène
Potop-Bucutaru Maria
Pocchiola Michel
"
"MCF","26","","","\N"
"MCF","25","26","","Membres internes

Julien Duval (président)
Jacek Graczyk
Nathalie Guichard

Sara Brofferio
Filipa Caetano
Patrick Pamphile

Membres extérieurs

Stéphane Jaffard (Créteil)
Benoît Kloeckner (Créteil)
Sébastien Martin (Paris Descartes)

Sylvie Monniaux (Marseille)
Penka Georgieva (IMJ)
Daniela Tonon (Dauphine)
"
"MCF","27","","","\N"
