"nature","section","section2","section3","comite"
"MCF","26","","","Membres locaux:

Alaoui Aziz
Corson Nathalie
Croce Gisella
Ducrot Arnaud
Loyal Sophie
Yassine Adnan

Membres extérieurs:

Augeraud-Véron Emmanuelle
Didi Biha Mohamed
El Assoudi Rachida
Knippel Arnaud
Luddens Francky
Maury Bertrand"
"MCF","25","","","Philippe Biane
Blanche Buet
Sophie Chemla
Georges Comte
Anne-Laure Dalibard
Eleonora Di Nezza
Antoine Ducros (président)
Pierre-Antoine Guihéneuf
Emmanuel Hebey
Viktoria Heu
Frédéric Klopp
Gilbert Levitt
Marco Maculan
Michela Petrini
Amaury Thuillier
Michela Varagnolo"
"MCF","26","","","
AUDUSSE Emmanuel
BETHUEL Fabrice (vice président)
CHAMBOLLE Antonin
CHARLES Frédérique
COMTE Myriam
DE BUHAN Maya
EHRLACHER Virginie
ERN Alexandre
FORTIN Pierre
GRIGORI Laura (présidente)
MOIREAU Philippe
THIERRY Bertrand"
"MCF","27","","","Internes : 
Bénel Aurélien (MCF)
Lewkowicz Myriam (PU)
Pierre Beauseroy (PU)
Matthieu Tixier (MCF)
Caroline Prodhon (MCF)

Externes : 
Catherine Letondal (MCF)
François Charoy (PU)
Pierre Cubaud (PU)
Caroline appert (PU)
Nancy Rodriguez (MCF)
"
"MCF","25","26","","Abdenacer Makhlouf (Président) 
Martin Bordemann 
Elizabeth Remm 
Sylvia Anicic 
Camille Laurent-Gengoux 
Alessandra Frabetti 
Said Benayadi 
Peter Schaunburg "
"PR","25","26","","Membres locaux : 

M. Didier Auroux
Mme Mai Gehrke
M. François Labourie
M. Ludovic Rifford (président)
M. Laurent Stolovitch


Membres extérieurs :

M. Fabrice Béthuel
M. Stéphane Druel
M. Raphaël Krikorian
M. Claude Sabbah
Mme Alessandra Sarti"
"MCF","27","","","\N"
"PR","26","","","Valéria Banica
Claire Chainais
Laurent Dumas
Patrick Galinari
Thierry Horsin
Yvon Maday
Véronique Maume Deschamps
Emmanuel Trélat"
"PR","25","26","","\N"
"MCF","25","","","\N"
"MCF","25","26","","Pascale Brandt-Pomarès (professeure, 70, Espe, Amu, présidente du comité)
Fabienne Castell (professeure, 26, i2m, Amu)
Olivier Guès (professeur, 26, i2m et Irem, Amu)
Rachid Zarouf (professeur, 25, Espe, Amu)

Isabelle Chalendar (professeure, 25, Paris-Est)
Françoise Dal&#039;bo (professeure, 25, Rennes 1)
Christiant Mercat (professeur, 25, Irem et Espe, Lyon 1)
Nicolas Raymond (professeur, 26, Angers)

Guillemette Chapuisat (maîtresse de conférences, 26, i2m, Amu)
Claire Coiffard (maîtresse de conférences, 26, Espe, Amu)
Thierry Coulbois (maître de conférences, 25, i2m, Amu)
Yavar Kian (maître de conférences, 26, CPT, IUT, Amu)

Paolo Bellingeri (maître de conférences, 25, Espe, Caen)
Segolen Geffray (maîtresse de conférences, 26, Strasbourg)
Pierre Hyvernat (maître de conférences, 25, Chambéry)
Anne de Roton (maîtresse de conférences, 25, Nancy) 
"
"MCF","26","","","\N"
"MCF","26","27","","\N"
"PR","27","","","\N"
"PR","27","","","\N"
"MCF","26","","","Membres Externes :
Lucie Baudouin (Toulouse)
Franck Boyer (Toulouse)
Caterina Calgaro (Lille)
Lucas Chesnel (Polytechnique)
Clotilde Fermanian (Créteil)
Emmanuel Maitre (Grenoble)

Membres Internes :
Antoine Henrot  président
Antoine Lememant 
Ilaria Lucardesi 
Renaud Marty  vice-président
Karim Ramdani 
Julie Valein "
"PR","25","","","Locaux:
Grellier Sandrine
Hillairet Luc
Julg Pierre
Zani Marguerite

Externes:
Carron Gilles
Gérard Patrick
Humbert Emmanuel
Roesch Pascale
Vaes Stefaan"
"MCF","25","26","","Membres externes : 

Fatiha Alabau (univ. Lorraine)
Gisella Croce (univ. du Havre)
Erwan Faou (INRIA Rennes)
Isabelle Gallagher (Université Paris)
Luc Hillairet (univ. Orléans)
Romain Joly (univ. Grenoble)
Simona Rota Nodari (univ. Bourgogne)
Anne-Sophie de Suzoni (Ecole Polytechnique)

Membres internes : 

Nalini Anantharaman
Raphaël Côte
Clémentine Courtès
Michaël Gutnic
Semyon Klevtsov 
Yohann Le Floch
Yannick Privat (président)
Martin Vogel"
"MCF","26","","","BEN HAMOU Anna
BUTUCEA Cristina
CHOUQUET Cécile
CONSTANTINO Francesco
FOUGERES Anne-Laure
GADAT Sébastien
GAMBOA Fabrice   (Président)
NEUVIAL Pierre
PAUWELS Edouard
PHAM NGOC Thanh Mai
PUDLO Pierre
VERZELEN Nicolas
"
"MCF","25","","","Membres extérieurs :

Pascal Autissier, Ariane Mézard, Olivier Ramaré

Cécile Armana, Elisa Lorenzo García, Sandra Rozenjstajn

Membres locaux :

Frédéric Bayart (président), François Dumas, Éric Gaudron
(vice-président)

Nicolas Billerey, Anne Pichereau, Marusia Rebolledo"
"PR","26","","","membres externes : 

Stéphane CHRETIEN
Francis FILBET 
Paola GOATIN 
Marcela  SZOPOS 
Nicolas VAUCHELET 


membres locaux : 

Mathieu CHAUVET
Thérèse LEBLOIS  (vice-présidente)
Alexei LOZINSKI  (président)	
Gawtum NAMAH 
"
"MCF","25","26","70","Internes

rangs A:
Rachid Zarouf, Pascal Terrien, Teresa Dos Reis Assude, Marjolaine Chatoney

rangs B: Claire Coiffard, Jean-François Hérold, Karine Millon-Fauré, Claire Winder


Externes

rangs A : Andréas Hartmann (Bordeaux), Emmanuel Fricain (Lille), Hamid Chaachoua (Grenoble), Christian Mercat (Lyon, Nice)

rangs B : Ségolen Geffray (Strasbourg), Chantal Menini (Bordeaux), Jana Trgalova (Lyon) , Simon Modeste (Montpellier)


"
"MCF","26","","","MEMBRES INTERIEURS A L&#039;UEVE **	HOMME / FEMME	CORPS	CNU	COMPOSANTE
Etienne Chevalier	H	MCf	26	UEVE deptt de maths/ LaMME
Stephane Crepey	H	PR	26	UEVE deptt de maths / LaMME
Agathe Guilloux	F	PR	26	UEVE deptt de maths / LaMME
Sergio Pulido	H	MCf	26	ENSIIE LaMME
				
				
				
MEMBRES EXTERIEURS A L&#039;UEVE **	HOMME / FEMME	CORPS	CNU	ETABLISSEMENT 
Lokmane Abbas-Turki	H	MCf	26	Sorbonne Université 
Laurence Carassus	F	PR	26	Université de Reims
Christa Cuchiero	F	PR	26	Université Paris Diderot
Stefano De Marco	H	MCf	26	Ecole Polytechnique / CMAPX
Céline Labart	F	MCf	26	Université de Savoie
Ying Jiao	F	PR	26	ISFA / Université de Lyon 1


Président :	
	Christa Cuchiero
vice-Président :	
	Stephane Crepey
"
"PR","26","","","Gérard Biau
Fabienne Comte
Stéphane Girard 
Anatoli Iouditski
Beatrice Laurent
Adeline Leclercq Samson
Pascal Massart
Nadia Vettier"
"MCF","25","26","","\N"
"PR","26","","","Bernard Bercu
Catherine Donati-Martin
Laurent Dumas
Christophe Giraud
Oleksiy Khorunzhiy
Claire Lacour
Béatrice Laurent-Bonneau"
"PR","27","","","Membres internes :
    Bartek Blaszczyszyn (DYOGENE)
    David Naccache (SECURITY)
    David Pointcheval (CASCADE) - Vice-Président
    Xavier Rival (ANTIQUE)

Membres externes :
    Sandrine Blazy (PU Univ. Rennes 1)
    Véronique Cortier (DR CNRS au LORIA)
    Laurence Duchien (PU Univ. Lille) - Présidente
    Elham Kashefi (DR CNRS au LIP6)
    Florence Maraninchi (PU Grenoble INP / ENSIMAG)
    Alexis Tsoukias (DR CNRS au LAMSADE)
"
"MCF","26","","","Membres extérieurs : 
Marc ARNAUDON
Laurence CHERFILS
Noureddine IGBIDA
Francois JAUBERTEAU
Carine LUCAS
Lisl WEYNANS

Membres locaux : 
Hermine BIERME
Damien CALLUAUD (Directeur département GTE à l&#039;IUT)
Julien MICHEL (Vice-Président du comité de sélection)
Madalina PETCU
Luc PICHON
Morgan PIERRE (Président du comité de sélection)"
"PR","25","26","","Charles Bordenave
Marco Cannone
Isabelle Chalendar
Stéphane Jaffard
Ivan Gentil
Sophie Grivaux
Damien Lamberton
Florence Merlevède
Françoise Pène"
"PR","25","26","","Raymond BRUMMELHUIS
Laurent DI MENZA
Clothilde FERMANIAN KAMMERER
Isabelle GALLAGHER
Jérôme LE ROUSSEAU
Francis NIER
Michael PEVZNER (Président)
Luc ROBBIANO
Stéphanie SALMON

"
"MCF","26","",""," Peggy Cénac, Julien Chiquet, Camille Coron, Benoît Daniel, Emilie Devijver, Anne Gégout-Petit, Eva Löcherbach, Irène Marcovici, Renaud Marty, Sophie Mézières,  Pascal Moyal, Chi Tran Viet"
"MCF","26","","","Externes
Gaelle Chagny (Rouen)
Jean-François Dupuy (Rennes)
Diarra Fall (Orléans)
Daria Loukianova (Evry)
Fanny Villers (Paris)
Julien Worms (Versailles)

Internes

Abdelmadjid Bouabdallah
Salim Bouzebda
Ghislaine Gayraud
Amor Keziou
Nikolaos Limnios
Florian De Vuyst"
"MCF","25","","","Internes:

M. Laurent DESVILLETTES (PR, président)
Mme Adina CIOMAGA-RALEA (MCF, vice-présidente)
M. Cosmin BURETA (MCF)

Externes:

Mme Isabelle TRISTANI (CR)
M. Julien GUILLOD (MCF)
M. Frédéric MARBACH (CR)
M. Luc HILLAIRET (PR)
Mme Elisabeth LOGAK (PR)
Mme Séverine RIGOT (PR)
M. Frédéric ROUSSET (PR)

https://u-paris.fr/wp-content/uploads/2020/03/ARRETE_0045.pdf"
"PR","26","","","Paris 1 

Jean-Marc BARDET, PR de Mathématiques, Président du comité
Bénédicte LE-GRAND, PR d’Informatique, Vice-Présidente du comité
Olivier GUEANT, PR de Mathématiques
Eva LOCHERBACH, PR de Mathématiques

Extérieurs

Patrice BERTAIL, PR de Mathématiques, Université Paris 10
Jean-Michel POGGI, PR de Mathématiques, Université Paris 5
Anne PHILIPPE, PR de Mathématiques, Université de Nantes
Nathalie VIALANEIX, DR de Mathématiques, INRA de Toulouse
"
"MCF","26","","","Vlada Limic
Jean Bérard
Philippe Helluy
Hermine Biermé
Jiri Cerny
Florent Malrieu
Ségolen Geffray
Nicolas Juillet
Xiaolin Zeng
Peggy Cénac
Marielle Simon
Julien Chevallier"
"MCF","26","27","","BRISSAUD Catherine, PR UGA     
DESSUS Philippe, PR UGA     
COULANGE Lalina, PR Université de Bordeaux   
DOWEK Gilles, DR Inria et ENS de Paris-Saclay 
GAUSSIER Hervé, PR Université Grenoble Alpes   
GUIN Nathalie, MCF Université Claude Bernard - Lyon 1
HACHE Christophe, MCF Université de Paris   
LUENGO Vanda, PR Sorbonne Université    
MODESTE Simon, MCF Université de Montpellier   
SOURY LAVERGNE Sophie, MCF Université Grenoble Alpes  
VINCENT Jean-Marc, MCF UNIVERSITE GRENOBLE-ALPES    
WAJEMAN Claire, MCF Université Grenoble-Alpes    
"
"MCF","26","","","\N"
"MCF","25","","","François BRUCKER
Didier CAUCAL
Isabelle CHALENDAR
Abal-Kassim CHEIK AHAMED
Monique CHICOURRAT
Christian DELHOMMÉ
Marion LE GONIDEC
Marianne MORILLON
Jean-Jacques SALONE
Hazam SI KADDOUR
Patricia SPINELLI
Dominique TOURNÈS"
"MCF","27","","","\N"
"PR","25","26","","Membres extérieurs :
Christine Bachoc
Werner Bley
David Harari
Emmanuel Kowalski
Federico Pellarin

Membres locaux :
Christophe Delaunay
Vincent Fleckinger
Camelia Goga
Louis Jeanjean"
"MCF","26","","","Président : Arnaud Le Ny ; arnaud.le-ny@u-pec.fr"
"MCF","26","","","Internes :

Florian Blachère
Houman Borouchaki
Myriam Lewkowicz (Présidente)
Laurence Moreau


Externes : 
Marc Daniel
Frédéric Hecht (Vice-président)
Chloé Mimeau
Géraldine Pichot"
"MCF","25","","","Membres extérieurs :

Chirstine Bachoc
Razvan Barbulescu
Cristiana Bertolin
José Ignacio Burgos Gil
Maria Carrizosa
Zoé Chatzidakis
Cécile Dartyge
Alain Genestier
Christine Huyghe
Youness Lamzouri
Olivier Wittenberg

Membres locaux :

Régis de la Bretèche
Huayi Chen
Mireille Fouquet
Mathilde Herblot
Loïc Merel
Jean-François Mestre
Pascal Molin"
